+-------------+-----------------+------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-------------+----------------------------------------+
| document_id | publish_channel | importance_level | title_preview                                                                                                                                                              | title_check | source_type | source_name                            |
+-------------+-----------------+------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+-------------+----------------------------------------+
|          27 | HEALTH          | NORMAL           | 时令节气与健康丨三伏天老年人消暑有方：别硬扛也别贪凉！-新华网                                                                                                              | ok          | WEB_ARTICLE | 新华网                                 |
|          28 | ELDERLY         | NORMAL           | 民政部发文加强城乡三级养老服务网络建设管理-新华网                                                                                                                          | ok          | WEB_ARTICLE | 新华网                                 |
|          29 | SERVICES        | NORMAL           | 工作动态-广州市大力实施中度以上失能老年人养老服务消费补贴政策 超2万名老年人受惠                                                                                            | ok          | WEB_ARTICLE | 广州市民政局                           |
|          31 | HEALTH          | NORMAL           | 银龄健康说丨老年人科学减重 吃动平衡是关键-新华网                                                                                                                           | ok          | WEB_ARTICLE | 新华网                                 |
|          32 | HEALTH          | NORMAL           | 我国开展老年合理用药促进行动-新华网                                                                                                                                        | ok          | WEB_ARTICLE | 新华网                                 |
|          33 | FRAUD           | NORMAL           | 新田社区助老防诈课堂开讲-龙华政府在线                                                                                                                                      | ok          | WEB_ARTICLE | 深圳市龙华区人民政府                   |
|          34 | HEALTH          | NORMAL           | 健康日历丨世界肝炎日：社会共治消除肝炎 早防早治守护肝脏健康-新华网                                                                                                         | ok          | WEB_ARTICLE | 新华网                                 |
|          59 | ACTIVITY        | NORMAL           | 《绘本点亮银龄时光》出版：将绘本阅读融入老龄服务-新华网                                                                                                                    | ok          | WEB_ARTICLE | 新华网                                 |
|          60 | ELDERLY         | NORMAL           | 老年人健康管理服务指南                                                                                                                                                     | ok          | PDF         | 国卫基层                               |
|          62 | HEALTH          | NORMAL           | 新研究：骨骼肌中一种蛋白质对老年健康至关重要-新华网                                                                                                                        | ok          | WEB_ARTICLE | 新华网                                 |
|          63 | COMMUNITY       | NORMAL           | 兴业惠民 共筑大场——大场镇2026年政府开放日_活动集锦_上海市宝山区人民政府门户网站                                                                                            | ok          | WEB_ARTICLE | 宝山区政府信息公开·大场镇              |
|          64 | COMMUNITY       | NORMAL           | 责令改正决定书送达公告_公示公告_上海市宝山区人民政府门户网站                                                                                                               | ok          | WEB_ARTICLE | 宝山区政府信息公开·大场镇              |
|          66 | SERVICES        | NORMAL           | 宝山区华灵路1895弄23号既有多层住宅加装电梯工程设计方案公示_公共服务_上海市宝山区人民政府门户网站                                                                           | ok          | WEB_ARTICLE | 宝山区政府信息公开·大场镇              |
|          67 | HEALTH          | NORMAL           | 国家卫生健康标准 WS/T 876—2026                                                                                                                                             | ok          | PDF         | 国家卫生健康委员会                     |
|          68 | HEALTH          | NORMAL           | 5年提高0.75岁，如何实现？-新华网                                                                                                                                           | ok          | WEB_ARTICLE | 新华网                                 |
|          69 | SERVICES        | NORMAL           | HPV疫苗、带状疱疹疫苗宝山惠民福利来啦！                                                                                                                                    | ok          | WEB_ARTICLE |                                        |
|          70 | FRAUD           | NORMAL           | 关于进一步做好本市老年人反诈宣传工作的通知                                                                                                                                 | ok          | WEB_ARTICLE |                                        |
|          76 | ACTIVITY        | NORMAL           | 暑期接种不打烊！13岁女孩免费接种HPV疫苗！                                                                                                                                  | ok          | WEB_ARTICLE |                                        |
|          78 | HEALTH          | NORMAL           | 太阳岛年会里的“康养之钥”-新华网                                                                                                                                            | ok          | WEB_ARTICLE | 新华网                                 |
|          79 | COMMUNITY       | NORMAL           | “时尚庙行·潮享生活”2026庙行镇生活引力场·时尚消费季正式启动————2026年庙行镇政府开放月系列活动（三）_活动                                                                    | ok          | WEB_ARTICLE | 宝山区政府信息公开·大场镇              |
|          80 | COMMUNITY       | NORMAL           | “燃情蜜夏”甜蜜生活日暨庙行镇生活引力场·时尚消费季首发活动——2026年庙行镇政府开放月系列活动（二）_活动集锦_上海                                                              | ok          | WEB_ARTICLE | 宝山区政府信息公开·大场镇              |
|          81 | COMMUNITY       | NORMAL           | 上海“最小镇”的企业家们，闭门聊了啥“秘籍”？——2026年庙行镇政府开放月系列活动_活动集锦_上海市宝山区人民政府门户                                                               | ok          | WEB_ARTICLE | 宝山区政府信息公开·大场镇              |
|          82 | ACTIVITY        | NORMAL           | 鲁迅文学奖首次来到上海 多场活动在全城展开 动静结合 探寻鲁迅精神原点                                                                                                        | ok          | WEB_ARTICLE | 上海市人民政府                         |
|          83 | ACTIVITY        | NORMAL           | 少儿版旧书市集延续书香风景线                                                                                                                                               | ok          | WEB_ARTICLE | 上海市人民政府                         |
|          85 | SERVICES        | NORMAL           | 产假、哺乳假怎么算？关于女职工 “三期” 权益，来看权威解答                                                                                                                   | ok          | WEB_ARTICLE | 上海市人民政府                         |
|          86 | SERVICES        | NORMAL           | 关于恢复上海华氏西部大药房有限公司桃浦店医保服务协议的通告                                                                                                                 | ok          | WEB_ARTICLE | 上海市医疗保障局                       |
|          88 | MEALS           | NORMAL           | 关于优化普陀区老年助餐优惠政策和补贴的通知                                                                                                                                 | ok          | WEB_ARTICLE | 上海市人民政府                         |
|          89 | MEALS           | NORMAL           | 老年助餐优惠或补贴有哪些形式？如何申请助餐补贴？来看解答                                                                                                                   | ok          | WEB_ARTICLE | 上海市人民政府                         |
|          90 | MEALS           | NORMAL           | 金山长者专属“鑫食惠”助餐服务卡上线                                                                                                                                         | ok          | WEB_ARTICLE | 上海市人民政府                         |
|          91 | MEALS           | NORMAL           | 社区食堂跻身来沪旅游“网红打卡点” “上海社区食堂打卡”成热门话题 连老外都来打卡 记者走访近10家社区食堂探寻可持续发                                                            | ok          | WEB_ARTICLE | 上海市人民政府                         |
|          92 | ACTIVITY        | NORMAL           | 银龄载誉归，情谊满天山：2026年沪疆“银龄行动”志愿者凯旋_2026本市民政_上海市民政局                                                                                           | ok          | WEB_ARTICLE | 上海市民政局                           |
